# OpenWrt x86/64 images pinned from the official release indexes on 2026-09-15.
# version	file	sha256
25.12.5	openwrt-25.12.5-x86-64-generic-ext4-combined.img.gz	23e2538e8ab0eb52dfed1c65d608ecdb71ffd432dd54885da138ae67cd9e4461
24.10.8	openwrt-24.10.8-x86-64-generic-ext4-combined.img.gz	23872c64fdb66d0765e0d17f71453a66e7a91e9ecb10606d5f738e6d166e14ae
